tx_id,date,amount,currency,merchant,category,description,type
779d7938,2024-09-04,15.61,USD,Cash App Refill,Transfers,Transfers payment at Cash App Refill,debit
4f81a64c,2024-09-04,189.19,USD,Walmart,Shopping,Shopping payment at Walmart,debit
88b042f8,2024-09-04,158.36,USD,Verizon,Bills,Bills payment at Verizon,debit
45f9e08a,2024-09-06,19.02,USD,YouTube Premium,Entertainment,Entertainment payment at YouTube Premium,debit
398b1f7e,2024-09-07,28.65,USD,ExxonMobil,Transport,Transport payment at ExxonMobil,debit
0e3c086c,2024-09-08,61.7,USD,Target,Shopping,Shopping payment at Target,debit
a4b80c38,2024-09-14,6.72,USD,Netflix,Entertainment,Entertainment payment at Netflix,debit
13a3364b,2024-09-18,21.39,USD,Amazon,Shopping,Shopping payment at Amazon,debit
b3b19936,2024-09-18,38.34,USD,Uber,Transport,Transport payment at Uber,debit
5b9cc44e,2024-09-19,19.05,USD,McDonald's,Food,Food payment at McDonald's,debit
0783ec6b,2024-09-19,84.17,USD,Aldi,Groceries,Groceries payment at Aldi,debit
2a33d83f,2024-09-20,24.94,USD,Target,Shopping,Shopping payment at Target,debit
35bf65ca,2024-09-21,18.67,USD,Domino's Pizza,Food,Food payment at Domino's Pizza,debit
516d3f48,2024-09-21,7.46,USD,KFC,Food,Food payment at KFC,debit
84c15804,2024-09-23,9.29,USD,Starbucks,Food,Food payment at Starbucks,debit
9ae6eb19,2024-09-29,27.3,USD,Uber,Transport,Transport payment at Uber,debit
1c649666,2024-09-30,10.07,USD,Lyft,Transport,Transport payment at Lyft,debit
fdcf00fd,2024-09-30,2148.46,USD,Employer Inc.,Salary,Salary payment at Employer Inc.,credit
ca332bb8,2024-10-04,26.79,USD,Kroger,Groceries,Groceries payment at Kroger,debit
5b548a5d,2024-10-04,35.04,USD,KFC,Food,Food payment at KFC,debit
96c1e30f,2024-10-04,177.2,USD,Walmart,Shopping,Shopping payment at Walmart,debit
c4511179,2024-10-06,33.24,USD,Cash App Refill,Transfers,Transfers payment at Cash App Refill,debit
4190a5bb,2024-10-06,13.79,USD,KFC,Food,Food payment at KFC,debit
d8a2fe53,2024-10-09,24.96,USD,Domino's Pizza,Food,Food payment at Domino's Pizza,debit
701dad34,2024-10-09,16.42,USD,Steam,Entertainment,Entertainment payment at Steam,debit
310ffe60,2024-10-11,15.77,USD,Starbucks,Food,Food payment at Starbucks,debit
8894e24b,2024-10-12,20.14,USD,Whole Foods,Groceries,Groceries payment at Whole Foods,debit
4deb94e7,2024-10-14,15.74,USD,KFC,Food,Food payment at KFC,debit
f87c2dea,2024-10-18,15.59,USD,Steam,Entertainment,Entertainment payment at Steam,debit
10e71e49,2024-10-19,15.36,USD,Steam,Entertainment,Entertainment payment at Steam,debit
5b63131f,2024-10-19,2771.8,USD,Employer Inc.,Salary,Salary payment at Employer Inc.,credit
188ebab7,2024-10-20,236.48,USD,Comcast,Bills,Bills payment at Comcast,debit
88a606cd,2024-10-21,190.48,USD,Target,Shopping,Shopping payment at Target,debit
2962e428,2024-10-21,91.32,USD,Amazon,Shopping,Shopping payment at Amazon,debit
3b5d05c2,2024-10-23,2515.26,USD,Employer Inc.,Salary,Salary payment at Employer Inc.,credit
6129ae02,2024-10-27,45.59,USD,Aldi,Groceries,Groceries payment at Aldi,debit
6fb2564e,2024-10-29,24.86,USD,KFC,Food,Food payment at KFC,debit
c4cdc580,2024-10-31,11.12,USD,Friend Transfer,Transfers,Transfers payment at Friend Transfer,debit
bce468f6,2024-10-31,8.69,USD,Domino's Pizza,Food,Food payment at Domino's Pizza,debit
9ffe25f6,2024-11-01,51.35,USD,Shell Gas,Transport,Transport payment at Shell Gas,debit
9738bdf7,2024-11-02,79.37,USD,Friend Transfer,Transfers,Transfers payment at Friend Transfer,debit
e7dd32ee,2024-11-03,149.65,USD,Walmart,Shopping,Shopping payment at Walmart,debit
